architecture,model_path,model_parameters,image_height,image_width,image_size_label,learning_rate,dropout_rate,dense_units,batch_size,epochs_trained,training_time_seconds,train_mae_norm,val_mae_norm,test_mae_norm,train_loss_norm,val_loss_norm,test_loss_norm,val_mse_original,val_mae_original,val_rmse_original,test_mse_original,test_mae_original,test_rmse_original
medium,outputs/models/medium_160x160_dense128_drop0_2_bs64_lr0_0001.keras,110785,160,160,160x160,0.0001,0.2,128,64,11,163.64602136611938,0.4394940137863159,0.41278278827667236,0.4225844144821167,0.31860291957855225,0.28015944361686707,0.29165583848953247,22284.423828125,116.41788482666016,149.27968323963245,23198.87109375,119.1822509765625,152.31175625587804
small,outputs/models/small_224x224_dense128_drop0_3_bs64_lr0_001.keras,9633,224,224,224x224,0.001,0.3,128,64,13,202.3574104309082,0.4545591473579407,0.42418643832206726,0.42988020181655884,0.4070809483528137,0.3542250692844391,0.3666337728500366,28175.74609375,119.63404846191406,167.85632574839116,29162.759765625,121.23988342285156,170.7710741478925
medium,outputs/models/medium_224x224_dense64_drop0_3_bs64_lr0_001.keras,102465,224,224,224x224,0.001,0.3,64,64,13,346.1397316455841,0.4561411142349243,0.43076565861701965,0.4404218792915344,0.31114307045936584,0.27845197916030884,0.2908889055252075,22148.611328125,121.48960876464844,148.8240952538432,23137.87109375,124.21295928955078,152.11137726596917
medium,outputs/models/medium_128x128_dense128_drop0_3_bs64_lr0_0001.keras,110785,128,128,128x128,0.0001,0.3,128,64,11,115.5334644317627,0.44478312134742737,0.4326699674129486,0.4430728852748871,0.25236034393310547,0.2395467758178711,0.24936848878860474,19054.01171875,122.02667999267578,138.03626957705717,19835.25,124.96064758300781,140.83767251697964
large,outputs/models/large_96x96_dense64_drop0_3_bs64_lr0_0001.keras,600609,96,96,96x96,0.0001,0.3,64,64,21,234.39629220962524,0.4589262008666992,0.43380266427993774,0.44466981291770935,0.35672974586486816,0.3152291476726532,0.3326186537742615,25073.939453125,122.34613037109375,158.34752746135635,26457.1328125,125.41102600097656,162.65648715160427
small,outputs/models/small_224x224_dense64_drop0_2_bs64_lr0_001.keras,7457,224,224,224x224,0.001,0.2,64,64,16,311.9230742454529,0.45085716247558594,0.433998703956604,0.4405228793621063,0.26198050379753113,0.24155744910240173,0.24785234034061432,19213.9453125,122.40142822265625,138.61437628363083,19714.654296875,124.24143981933594,140.40888254264758
large,outputs/models/large_224x224_dense64_drop0_3_bs64_lr0_0001.keras,600609,224,224,224x224,0.0001,0.3,64,64,14,691.0304772853851,0.4666703939437866,0.4415111243724823,0.4455099403858185,0.371295690536499,0.33694830536842346,0.34291163086891174,26801.517578125,124.5201644897461,163.7116904137423,27275.8515625,125.6479721069336,165.1540237550996
medium,outputs/models/medium_160x160_dense128_drop0_3_bs64_lr0_001.keras,110785,160,160,160x160,0.001,0.3,128,64,11,163.0459327697754,0.46938174962997437,0.4629347026348114,0.46782711148262024,0.2742437422275543,0.2636948227882385,0.2691648304462433,20974.798828125,130.56228637695312,144.82678905549554,21409.892578125,131.9421844482422,146.321196612538
large,outputs/models/large_64x64_dense128_drop0_3_bs64_lr0_001.keras,617121,64,64,64x64,0.001,0.3,128,64,15,96.66528582572937,0.496460884809494,0.4779459536075592,0.48543986678123474,0.34459036588668823,0.31267282366752625,0.3239385187625885,24870.6015625,134.79595947265625,157.70415835513026,25766.69921875,136.9094696044922,160.52008976682637
large,outputs/models/large_96x96_dense128_drop0_3_bs64_lr0_0001.keras,617121,96,96,96x96,0.0001,0.3,128,64,23,255.37289786338806,0.5067378282546997,0.4885164797306061,0.4955489933490753,0.35848143696784973,0.32742923498153687,0.33936306834220886,26044.359375,137.7771759033203,161.38264892794393,26993.599609375,139.7605438232422,164.29729032876654
medium,outputs/models/medium_96x96_dense64_drop0_3_bs64_lr0_0001.keras,102465,96,96,96x96,0.0001,0.3,64,64,10,66.63457751274109,0.5359994769096375,0.49087095260620117,0.5001023411750793,0.5998082160949707,0.5170353055000305,0.5365358591079712,41125.98828125,138.44119262695312,202.79543456707796,42677.1015625,141.04478454589844,206.58436911465495
large,outputs/models/large_224x224_dense64_drop0_2_bs64_lr0_001.keras,600609,224,224,224x224,0.001,0.2,64,64,18,898.7356266975403,0.5356120467185974,0.5022705793380737,0.5077263712882996,0.6018010973930359,0.5246899127960205,0.5438275337219238,41734.8515625,141.65626525878906,204.2910951620261,43257.10546875,143.19497680664062,207.98342594723744
medium,outputs/models/medium_96x96_dense128_drop0_2_bs64_lr0_0001.keras,110785,96,96,96x96,0.0001,0.2,128,64,10,67.78778862953186,0.5609150528907776,0.5175923109054565,0.5255306363105774,0.5864018797874451,0.5054036378860474,0.5244840383529663,40200.78515625,145.97747802734375,200.50133454979795,41718.47265625,148.2163543701172,204.2510040519997
large,outputs/models/large_224x224_dense128_drop0_2_bs64_lr0_001.keras,617121,224,224,224x224,0.001,0.2,128,64,23,1122.3358807563782,0.5609838962554932,0.5332958698272705,0.5415740013122559,0.47631609439849854,0.4237905442714691,0.4390237033367157,33709.1171875,150.4063720703125,183.60042807003475,34920.79296875,152.74107360839844,186.8710597410685
medium,outputs/models/medium_160x160_dense64_drop0_2_bs64_lr0_0001.keras,102465,160,160,160x160,0.0001,0.2,64,64,17,249.15839219093323,0.5638708472251892,0.5359127521514893,0.5484513640403748,0.48758265376091003,0.4367884397506714,0.4551887810230255,34742.9921875,151.14447021484375,186.39472145825374,36206.58984375,154.68075561523438,190.2802928412451
large,outputs/models/large_160x160_dense64_drop0_3_bs64_lr0_0001.keras,600609,160,160,160x160,0.0001,0.3,64,64,41,1099.8324513435364,0.5702455639839172,0.545312225818634,0.5482832193374634,0.5401347875595093,0.4928026497364044,0.5052254796028137,39198.48046875,153.79541015625,197.98606129914802,40186.62109375,154.63330078125,200.46600982149067
large,outputs/models/large_128x128_dense64_drop0_3_bs64_lr0_0001.keras,600609,128,128,128x128,0.0001,0.3,64,64,14,263.7123169898987,0.5945296287536621,0.5695227980613708,0.5715538859367371,0.5562537908554077,0.5019552707672119,0.5126268863677979,39926.48828125,160.62355041503906,199.81613618837193,40775.32421875,161.19635009765625,201.92900786848332
large,outputs/models/large_160x160_dense64_drop0_2_bs64_lr0_001.keras,600609,160,160,160x160,0.001,0.2,64,64,14,408.50802421569824,0.6061468720436096,0.5891998410224915,0.5910854935646057,0.47720569372177124,0.4423813223838806,0.45007196068763733,35187.87109375,166.1730499267578,187.5843039642443,35799.59765625,166.7049102783203,189.2078160548607
medium,outputs/models/medium_224x224_dense64_drop0_2_bs64_lr0_0001.keras,102465,224,224,224x224,0.0001,0.2,64,64,14,374.5767238140106,0.6139991879463196,0.6215987801551819,0.6356472373008728,0.519149124622345,0.5341493487358093,0.5581205487251282,42487.27734375,175.31060791015625,206.12442199737032,44393.98828125,179.27273559570312,210.6988093968497
medium,outputs/models/medium_224x224_dense64_drop0_3_bs64_lr0_0001.keras,102465,224,224,224x224,0.0001,0.3,64,64,11,295.39195728302,0.6824108362197876,0.6383333802223206,0.6527778506278992,0.7728528380393982,0.6840960383415222,0.7104384899139404,54414.3203125,180.0303192138672,233.26877269043106,56509.65234375,184.1041259765625,237.71758947067843
medium,outputs/models/medium_224x224_dense128_drop0_3_bs64_lr0_0001.keras,110785,224,224,224x224,0.0001,0.3,128,64,10,269.2413284778595,0.7558707594871521,0.7167317271232605,0.7322176098823547,0.808763861656189,0.7236104011535645,0.755837619304657,57557.3828125,202.14112854003906,239.91119776388095,60120.78515625,206.50868225097656,245.19540198839374
medium,outputs/models/medium_160x160_dense128_drop0_3_bs64_lr0_0001.keras,110785,160,160,160x160,0.0001,0.3,128,64,10,149.69121861457825,0.7392087578773499,0.7453716397285461,0.7493532299995422,0.6333222985267639,0.6419386267662048,0.6452746391296387,51061.0390625,210.21849060058594,225.9668981565663,51326.390625,211.34144592285156,226.55328429532864
medium,outputs/models/medium_128x128_dense64_drop0_3_bs64_lr0_0001.keras,102465,128,128,128x128,0.0001,0.3,64,64,10,105.67086052894592,0.833993673324585,0.789878249168396,0.7878947854042053,1.211566686630249,1.083562970161438,1.0959545373916626,86188.7109375,222.77078247070312,293.57913913883596,87174.34375,222.2113800048828,295.2530164960216
